ds,yhat,lower,upper
2025-01-31 00:00:00,44.765225390585364,40.517685355502316,49.01276542566841
2025-01-31 01:00:00,44.76542420099611,40.46322167890058,49.067626723091635
2025-01-31 02:00:00,44.778337304757834,40.425815631180264,49.130858978335404
2025-01-31 03:00:00,44.79029475645582,40.40207233517166,49.178517177739984
2025-01-31 04:00:00,44.802535511261425,40.37966428939285,49.22540673313
2025-01-31 05:00:00,44.814728916347114,40.35803212686629,49.27142570582794
2025-01-31 06:00:00,44.82689644934108,40.33684531202842,49.31694758665373
2025-01-31 07:00:00,44.83902986547709,40.31606582970835,49.361993901245825
2025-01-31 08:00:00,44.851129525719806,40.29567372414669,49.40658532729292
2025-01-31 09:00:00,44.86319530417176,40.27565803296785,49.450732575375675
2025-01-31 10:00:00,44.875227294429365,40.25600900303443,49.4944455858243
2025-01-31 11:00:00,44.887225584958784,40.2367175164176,49.53773365349997
2025-01-31 12:00:00,44.899190269870196,40.21777483785658,49.58060570188381
2025-01-31 13:00:00,44.9111214431068,40.19917257168187,49.62307031453173
2025-01-31 14:00:00,44.92301919851599,40.18090263695845,49.665135760073525
2025-01-31 15:00:00,44.93488362969158,40.162957250136635,49.70681000924653
2025-01-31 16:00:00,44.94671482997027,40.14532890950878,49.74810075043176
2025-01-31 17:00:00,44.95851289242775,40.12801038087345,49.78901540398205
2025-01-31 18:00:00,44.97027790987921,40.110994684154676,49.82956113560374
2025-01-31 19:00:00,44.98200997487986,40.094275080882674,49.86974486887704
2025-01-31 20:00:00,44.993709179725705,40.077845062464505,49.909573296986906
2025-01-31 21:00:00,45.00537561645424,40.06169833918367,49.949052893724804
2025-01-31 22:00:00,45.01700937684515,40.045828829873685,49.98818992381662
2025-01-31 23:00:00,45.02861055242108,40.03023065221564,50.026990452626514
2025-02-01 00:00:00,45.04017923444832,40.0148981136141,50.06546035528253
2025-02-01 01:00:00,45.05171551393753,39.999825702609414,50.10360532526565
2025-02-01 02:00:00,45.063219481644474,39.985008080788496,50.14143088250045
2025-02-01 03:00:00,45.074691228070705,39.97044007515883,50.17894238098258
2025-02-01 04:00:00,45.086130843464296,39.95611667095354,50.21614501597505
2025-02-01 05:00:00,45.097538417820545,39.94203300483812,50.253043830802966
2025-02-01 06:00:00,45.108914040882695,39.92818435849149,50.2896437232739
2025-02-01 07:00:00,45.12025780214261,39.91456615253638,50.32594945174884
2025-02-01 08:00:00,45.13156979084151,39.90117394079608,50.36196564088694
2025-02-01 09:00:00,45.14285009597065,39.88800340485612,50.39769678708518
2025-02-01 10:00:00,45.15409880627205,39.8750503489114,50.433147263632705
2025-02-01 11:00:00,45.16531601023916,39.862310694880264,50.468321325598055
2025-02-01 12:00:00,45.17650179611757,39.84978047776919,50.50322311446595
2025-02-01 13:00:00,45.1876562519057,39.837455841271996,50.537856662539404
2025-02-01 14:00:00,45.19877946535551,39.82533303358958,50.572225897121434
2025-02-01 15:00:00,45.20987152397316,39.813408403456386,50.60633464448994
2025-02-01 16:00:00,45.22093251501975,39.80167839636145,50.64018663367804
2025-02-01 17:00:00,45.23196252551192,39.79013955095231,50.673785500071524
2025-02-01 18:00:00,45.242961642222625,39.77878849561106,50.70713478883419
2025-02-01 19:00:00,45.25392995168177,39.767621945192495,50.74023795817104
2025-02-01 20:00:00,45.26486754017689,39.756636697915056,50.77309838243872
2025-02-01 21:00:00,45.27577449375385,39.745829632395875,50.805719355111826
2025-02-01 22:00:00,45.28665089821751,39.73519770482166,50.83810409161336
2025-02-01 23:00:00,45.297496839132386,39.72473794624809,50.87025573201668
2025-02-02 00:00:00,45.308312401823365,39.71444746002039,50.90217734362634
2025-02-02 01:00:00,45.31909767137632,39.704323419308515,50.93387192344412
2025-02-02 02:00:00,45.32985273263882,39.69436306475092,50.96534240052672
2025-02-02 03:00:00,45.340577670220796,39.68456370220079,50.9965916382408
2025-02-02 04:00:00,45.35127256849518,39.67492270056955,51.02762243642081
2025-02-02 05:00:00,45.3619375115986,39.66543748976241,51.058437533434784
2025-02-02 06:00:00,45.372572583432,39.65610555870125,51.08903960816276
2025-02-02 07:00:00,45.383177867661374,39.6469244534302,51.119431281892545
2025-02-02 08:00:00,45.39375344771833,39.6378917752999,51.149615120136765
2025-02-02 09:00:00,45.404299406800824,39.62900517922621,51.179593634375436
2025-02-02 10:00:00,45.41481582787377,39.62026237201992,51.20936928372761
2025-02-02 11:00:00,45.4253027936697,39.611661110783686,51.238944476555716
2025-02-02 12:00:00,45.435760386689445,39.603199201373045,51.268321572005846
2025-02-02 13:00:00,45.44618868920275,39.5948744969183,51.2975028814872
2025-02-02 14:00:00,45.45658778324892,39.58668489640443,51.32649067009341
2025-02-02 15:00:00,45.46695775063749,39.578628343306114,51.35528715796887
2025-02-02 16:00:00,45.47729867294886,39.570702824275386,51.38389452162234
2025-02-02 17:00:00,45.48761063153492,39.56290636787934,51.4123148951905
2025-02-02 18:00:00,45.497893707519715,39.555237043385674,51.44055037165376
2025-02-02 19:00:00,45.50814798180006,39.54769295959369,51.468603004006425
2025-02-02 20:00:00,45.51837353504618,39.54027226370883,51.49647480638353
2025-02-02 21:00:00,45.52857044770239,39.53297314025874,51.524167755146046
2025-02-02 22:00:00,45.53873879998765,39.525793810048846,51.55168378992645
2025-02-02 23:00:00,45.54887867189625,39.51873252915589,51.579024814636604
2025-02-03 00:00:00,45.55899014319842,39.511787587957606,51.60619269843924
2025-02-03 01:00:00,45.56907329344098,39.50495731019697,51.63318927668499
2025-02-03 02:00:00,45.579128201947924,39.49824005207956,51.66001635181629
